,TIMESTAMP,RECORD,TAIR,RELH,SRAD,WSPD,WMAX,WDIR,RAIN,BATV
557,2021-02-03 00:00:00,1171,11.95,36.81,0.003,0.386,1.122,201.7,0.0,12.86
558,2021-02-03 00:05:00,1172,11.84,37.16,0.003,0.511,1.016,210.1,0.0,12.92
559,2021-02-03 00:10:00,1173,11.68,37.63,0.002,0.419,1.008,204.1,0.0,12.86
560,2021-02-03 00:15:00,1174,11.53,38.06,0.0,0.398,1.051,182.3,0.0,12.86
561,2021-02-03 00:20:00,1175,11.37,38.59,0.002,0.376,0.806,113.6,0.0,12.85
562,2021-02-03 00:25:00,1176,11.24,39.0,0.002,0.461,1.122,161.8,0.0,12.85
563,2021-02-03 00:30:00,1177,11.12,39.3,0.001,0.389,1.086,106.0,0.0,12.85
564,2021-02-03 00:35:00,1178,11.02,39.47,0.001,0.551,1.463,81.2,0.0,12.85
565,2021-02-03 00:40:00,1179,10.98,39.5,0.004,0.389,1.069,116.8,0.0,12.85
566,2021-02-03 00:45:00,1180,10.92,39.61,0.001,0.428,1.095,114.6,0.0,12.84
567,2021-02-03 00:50:00,1181,10.82,39.65,0.003,0.443,1.104,113.2,0.0,12.76
568,2021-02-03 00:55:00,1182,10.72,39.82,0.002,0.52,1.367,107.7,0.0,12.84
569,2021-02-03 01:00:00,1183,10.68,39.51,0.003,0.454,0.929,100.1,0.0,12.83
570,2021-02-03 01:05:00,1184,10.77,38.81,0.005,0.553,1.428,133.9,0.0,12.83
571,2021-02-03 01:10:00,1185,10.76,38.62,0.003,0.494,1.472,239.6,0.0,12.83
572,2021-02-03 01:15:00,1186,10.73,38.67,0.001,0.562,1.288,30.37,0.0,12.83
573,2021-02-03 01:20:00,1187,10.55,39.23,0.002,0.463,1.008,232.0,0.0,12.83
574,2021-02-03 01:25:00,1188,10.34,39.88,0.003,0.496,1.306,143.4,0.0,12.89
575,2021-02-03 01:30:00,1189,10.2,40.22,0.003,0.475,1.025,87.1,0.0,12.82
576,2021-02-03 01:35:00,1190,10.06,40.6,0.002,0.437,1.235,8.29,0.0,12.82
577,2021-02-03 01:40:00,1191,9.98,40.7,0.0,0.602,1.332,79.0,0.0,12.81
578,2021-02-03 01:45:00,1192,9.93,40.87,0.001,0.343,0.929,68.2,0.0,12.81
579,2021-02-03 01:50:00,1193,9.81,41.11,0.002,0.332,1.297,264.1,0.0,12.81
580,2021-02-03 01:55:00,1194,9.71,41.4,0.002,0.447,1.043,140.6,0.0,12.8
581,2021-02-03 02:00:00,1195,9.53,41.91,0.004,0.359,1.025,102.8,0.0,12.8
582,2021-02-03 02:05:00,1196,9.43,42.05,0.002,0.361,1.104,124.2,0.0,12.8
583,2021-02-03 02:10:00,1197,9.38,42.07,0.003,0.36,0.85,92.9,0.0,12.88
584,2021-02-03 02:15:00,1198,9.3,42.2,0.001,0.379,0.85,104.6,0.0,12.8
585,2021-02-03 02:20:00,1199,9.21,42.29,0.0,0.5,1.227,75.23,0.0,12.79
586,2021-02-03 02:25:00,1200,9.17,42.32,0.002,0.434,1.411,119.2,0.0,12.79
587,2021-02-03 02:30:00,1201,9.14,42.27,0.003,0.495,1.139,113.8,0.0,12.79
588,2021-02-03 02:35:00,1202,9.1,42.46,0.002,0.463,1.183,189.5,0.0,12.79
589,2021-02-03 02:40:00,1203,8.98,42.86,0.003,0.48,1.183,51.63,0.0,12.78
590,2021-02-03 02:45:00,1204,8.92,43.02,0.001,0.419,1.244,78.44,0.0,12.71
591,2021-02-03 02:50:00,1205,8.77,43.46,0.001,0.458,1.384,94.5,0.0,12.78
592,2021-02-03 02:55:00,1206,8.61,43.94,0.001,0.534,1.411,112.2,0.0,12.77
593,2021-02-03 03:00:00,1207,8.47,44.38,0.003,0.468,1.376,133.4,0.0,12.77
