,TIMESTAMP,TAIR,RELH,SRAD,WSPD,WMAX,WDIR,RAIN,BATV
0,2021-02-01 00:00:00,6.904,59.93,0.001,0.172,0.797,245.7,0.0,12.84
1,2021-02-01 00:05:00,6.804,60.38,0.001,0.111,0.386,171.3,0.0,12.84
2,2021-02-01 00:10:00,6.715,60.86,0.003,0.112,0.526,225.6,0.0,12.84
3,2021-02-01 00:15:00,6.654,61.18,0.0,0.085,0.35,220.0,0.0,12.84
4,2021-02-01 00:20:00,6.594,61.45,0.003,0.182,0.85,261.6,0.0,12.81
5,2021-02-01 00:25:00,6.527,61.79,0.001,0.168,0.482,289.1,0.0,12.83
6,2021-02-01 00:30:00,6.47,61.99,0.001,0.075,0.394,284.9,0.0,12.83
7,2021-02-01 00:35:00,6.357,62.53,0.002,0.073,0.438,270.2,0.0,12.82
8,2021-02-01 00:40:00,6.272,62.99,0.002,0.095,0.421,283.2,0.0,12.82
9,2021-02-01 00:45:00,6.234,63.21,0.001,0.079,0.333,306.7,0.0,12.82
10,2021-02-01 00:50:00,6.233,63.42,0.002,0.127,0.64,306.8,0.0,12.82
11,2021-02-01 00:55:00,6.21,63.58,0.002,0.109,0.456,315.1,0.0,12.81
12,2021-02-01 01:00:00,6.16,63.86,0.001,0.092,0.368,301.0,0.0,12.71
13,2021-02-01 01:05:00,6.103,64.21,0.002,0.105,0.438,298.3,0.0,12.81
14,2021-02-01 01:10:00,6.061,64.45,0.002,0.076,0.377,319.5,0.0,12.8
15,2021-02-01 01:15:00,5.975,64.83,0.001,0.094,0.307,292.8,0.0,12.8
16,2021-02-01 01:20:00,5.837,65.41,0.003,0.049,0.219,273.1,0.0,12.8
17,2021-02-01 01:25:00,5.717,66.04,0.002,0.139,0.578,274.4,0.0,12.8
18,2021-02-01 01:30:00,5.646,66.48,0.004,0.078,0.386,285.3,0.0,12.8
19,2021-02-01 01:35:00,5.607,66.91,0.002,0.089,0.421,293.9,0.0,12.79
20,2021-02-01 01:40:00,5.583,67.12,0.002,0.068,0.228,287.0,0.0,12.79
21,2021-02-01 01:45:00,5.541,67.4,0.004,0.089,0.35,293.6,0.0,12.78
22,2021-02-01 01:50:00,5.433,67.96,0.003,0.082,0.307,175.7,0.0,12.79
23,2021-02-01 01:55:00,5.349,68.53,0.003,0.165,0.368,175.0,0.0,12.78
24,2021-02-01 02:00:00,5.369,68.69,0.0,0.127,0.377,166.3,0.0,12.78
25,2021-02-01 02:05:00,5.406,68.67,0.001,125.106,0.342,178.7,0.0,12.78
26,2021-02-01 02:10:00,5.43,68.63,0.002,0.125,0.368,167.8,0.0,12.77
27,2021-02-01 02:15:00,5.402,68.77,0.004,0.144,0.412,162.8,0.0,12.77
28,2021-02-01 02:20:00,5.312,69.19,0.002,0.131,0.28,163.7,0.0,12.69
29,2021-02-01 02:25:00,5.247,69.42,0.001,0.147,0.447,155.0,0.0,12.77
