"TOA5","NWC0","CR300","10171","CR310-WIFI.Std.10.03","CPU:NWC0_05A.CR300","59237","NWC0_05A"
"TIMESTAMP","RECORD","TAIR","RELH","SRAD","WSPD","WMAX","WDIR","RAIN","BATV"
"TS","RN","DegC","Percent","W/m2","m/s","m/s","Deg","mm","Volts"
"","","Avg","Avg","Avg","Avg","Max","WVc","Tot","Smp"
"2021-02-01 00:00:00",595,6.904,59.93,0.001,0.172,0.797,245.7,0,12.84
"2021-02-01 00:05:00",596,6.804,60.38,0.001,0.111,0.386,171.3,0,12.84
"2021-02-01 00:10:00",597,6.715,60.86,0.003,0.112,0.526,225.6,0,12.84
"2021-02-01 00:15:00",598,6.654,61.18,0,0.085,0.35,220,0,12.84
"2021-02-01 00:20:00",599,6.594,61.45,0.003,0.182,0.85,261.6,0,12.81
"2021-02-01 00:25:00",600,6.527,61.79,0.001,0.168,0.482,289.1,0,12.83
"2021-02-01 00:30:00",601,6.47,61.99,0.001,0.075,0.394,284.9,0,12.83
"2021-02-01 00:35:00",602,6.357,62.53,0.002,0.073,0.438,270.2,0,12.82
"2021-02-01 00:40:00",603,6.272,62.99,0.002,0.095,0.421,283.2,0,12.82
"2021-02-01 00:45:00",604,6.234,63.21,0.001,0.079,0.333,306.7,0,12.82
"2021-02-01 00:50:00",605,6.233,63.42,0.002,0.127,0.64,306.8,0,12.82
"2021-02-01 00:55:00",606,6.21,63.58,0.002,0.109,0.456,315.1,0,12.81
"2021-02-01 01:00:00",607,6.16,63.86,0.001,0.092,0.368,301,0,12.71
"2021-02-01 01:05:00",608,6.103,64.21,0.002,0.105,0.438,298.3,0,12.81
"2021-02-01 01:10:00",609,6.061,64.45,0.002,0.076,0.377,319.5,0,12.8
"2021-02-01 01:15:00",610,5.975,64.83,0.001,0.094,0.307,292.8,0,12.8
"2021-02-01 01:20:00",611,5.837,65.41,0.003,0.049,0.219,273.1,0,12.8
"2021-02-01 01:25:00",612,5.717,66.04,0.002,0.139,0.578,274.4,0,12.8
"2021-02-01 01:30:00",613,5.646,66.48,0.004,0.078,0.386,285.3,0,12.8
"2021-02-01 01:35:00",614,5.607,66.91,0.002,0.089,0.421,293.9,0,12.79
"2021-02-01 01:40:00",615,5.583,67.12,0.002,0.068,0.228,287,0,12.79
"2021-02-01 01:45:00",616,5.541,67.4,0.004,0.089,0.35,293.6,0,12.78
"2021-02-01 01:50:00",617,5.433,67.96,0.003,0.082,0.307,175.7,0,12.79
"2021-02-01 01:55:00",618,5.349,68.53,0.003,0.165,0.368,175,0,12.78
"2021-02-01 02:00:00",619,5.369,68.69,0,0.127,0.377,166.3,0,12.78
"2021-02-01 02:05:00",620,5.406,68.67,0.001,125.106,0.342,178.7,0,12.78
"2021-02-01 02:10:00",621,5.43,68.63,0.002,0.125,0.368,167.8,0,12.77
"2021-02-01 02:15:00",622,5.402,68.77,0.004,0.144,0.412,162.8,0,12.77
"2021-02-01 02:20:00",623,5.312,69.19,0.002,0.131,0.28,163.7,0,12.69
"2021-02-01 02:25:00",624,5.247,69.42,0.001,0.147,0.447,155,0,12.77
"2021-02-01 02:30:00",625,5.152,69.81,0.002,0.129,0.543,154.3,0,12.76
"2021-02-01 02:35:00",626,5.046,70.34,0.001,0.16,0.438,140.6,0,12.76
"2021-02-01 02:40:00",627,4.999,70.68,0.004,0.159,0.789,149.3,0,12.76
"2021-02-01 02:45:00",628,4.913,71.01,0.003,0.084,0.333,152.1,0,12.76
"2021-02-01 02:50:00",629,4.791,71.46,0.004,0.16,0.429,154,0,12.75
"2021-02-01 02:55:00",630,4.622,72.03,0.002,0.143,0.491,149.9,0,12.73
"2021-02-01 03:00:00",631,4.437,72.8,0.003,0.152,0.456,151.7,0,12.75
"2021-02-01 03:05:00",632,4.253,73.56,0.003,0.074,0.333,150.1,0,12.75
"2021-02-01 03:10:00",633,4.079,74.3,0.001,0.09,0.307,134.9,0,12.75
"2021-02-01 03:15:00",634,3.887,75.02,0.003,0.062,0.237,148.6,0,12.74
"2021-02-01 03:20:00",635,3.7,75.78,0.004,0.124,0.315,141.3,0,12.74
"2021-02-01 03:25:00",636,3.597,76.27,0.003,0.133,0.701,151.4,0,12.74
"2021-02-01 03:30:00",637,3.463,76.91,0.003,0.112,0.429,153.7,0,12.74
"2021-02-01 03:35:00",638,3.303,77.55,0.003,0.073,0.272,162.9,0,12.73
"2021-02-01 03:40:00",639,3.109,78.34,0.002,0.045,0.429,147.3,0,12.75
"2021-02-01 03:45:00",640,2.993,78.92,0.003,0.084,0.359,141,0,12.73
"2021-02-01 03:50:00",641,2.869,79.47,0.002,0.066,0.298,130.5,0,12.72
"2021-02-01 03:55:00",642,2.831,79.64,0.003,0.156,0.394,168.1,0,12.73
"2021-02-01 04:00:00",643,2.736,79.99,0.003,0.091,0.421,128.7,0,12.72
"2021-02-01 04:05:00",644,2.578,80.6,0.003,0.079,0.552,119.7,0,12.72
"2021-02-01 04:10:00",645,2.417,81.3,0.003,0.1,0.254,149.6,0,12.72
"2021-02-01 04:15:00",646,2.308,81.9,0.002,0.112,0.307,129.7,0,12.73
"2021-02-01 04:20:00",647,2.305,82,0.003,0.076,0.324,147.3,0,12.71
"2021-02-01 04:25:00",648,2.34,82,0.002,0.087,0.368,156.8,0,12.71
"2021-02-01 04:30:00",649,2.323,81.9,0.003,0.074,0.298,149.8,0,12.71
"2021-02-01 04:35:00",650,2.235,82.1,0.002,0.067,0.245,131.1,0,12.7
"2021-02-01 04:40:00",651,2.252,82,0.003,0.133,0.613,149.1,0,12.7
"2021-02-01 04:45:00",652,2.229,81.8,0.002,0.193,0.718,141.4,0,12.7
"2021-02-01 04:50:00",653,2.112,82.1,0.003,0.105,0.342,145.5,0,12.7
"2021-02-01 04:55:00",654,2.001,82.5,0.003,0.09,0.403,134.2,0,12.68
"2021-02-01 05:00:00",655,2.028,82.3,0.002,0.146,0.403,137.3,0,12.74
"2021-02-01 05:05:00",656,2.067,82,0.002,0.127,0.412,130.6,0,12.69
"2021-02-01 05:10:00",657,2.061,81.9,0.003,0.146,0.473,150.8,0,12.69
"2021-02-01 05:15:00",658,2.007,81.9,0.003,0.121,0.421,143.4,0,12.69
"2021-02-01 05:20:00",659,1.958,81.8,0.004,0.144,0.456,133.3,0,12.68
"2021-02-01 05:25:00",660,1.9,81.9,0.005,0.14,0.412,144.9,0,12.68
"2021-02-01 05:30:00",661,1.895,81.9,0.003,0.08,0.403,144,0,12.68
"2021-02-01 05:35:00",662,1.839,82,0.001,0.082,0.333,96.9,0,12.69
"2021-02-01 05:40:00",663,1.804,82.3,0.003,0.117,0.342,151.5,0,12.67
"2021-02-01 05:45:00",664,1.745,82.5,0.002,0.104,0.333,131.3,0,12.67
"2021-02-01 05:50:00",665,1.604,83,0.002,0.039,0.254,119.5,0,12.67
"2021-02-01 05:55:00",666,1.435,83.7,0.003,0.054,0.245,136.8,0,12.67
"2021-02-01 06:00:00",667,1.34,84.2,0.002,0.056,0.315,133,0,12.67
"2021-02-01 06:05:00",668,1.315,84.6,0.004,0.038,0.228,141.5,0,12.66
"2021-02-01 06:10:00",669,1.305,84.7,0.003,0.055,0.315,141.3,0,12.66
"2021-02-01 06:15:00",670,1.246,85,0.002,0.037,0.289,133.3,0,12.66
"2021-02-01 06:20:00",671,1.205,85.2,0.005,0.023,0.123,78.28,0,12.55
"2021-02-01 06:25:00",672,1.109,85.5,0.004,0.025,0.175,137.1,0,12.65
